ROI,Replicate,x_pixels,y_pixels,spot_height,spot_width
ROI3,1,109,174,6,6
ROI3,2,116,175,6,5
ROI3,5,135,173,6,6
ROI3,4,129,175,6,5
ROI3,3,122,175,6,6
ROI2,1,105,134,6,6
ROI2,2,112,134,6,5
ROI2,4,107,126,6,6
ROI2,5,114,126,6,5
ROI2,3,118,134,6,6
ROI4,3,193,89,6,6
ROI4,2,186,85,7,6
ROI4,1,186,78,6,6
ROI4,4,200,81,6,7
ROI4,5,201,73,7,6
ROI1,5,19,107,5,5
ROI1,2,20,114,5,6
ROI1,1,22,120,6,6
ROI1,3,27,113,6,6
ROI1,4,26,139,5,7
ROI5,2,174,185,6,6
ROI5,1,182,186,5,6
ROI5,4,190,184,5,5
ROI5,5,175,198,6,6
ROI5,3,184,196,5,5
